ID	NAME
-263	ARIPIPERAZOLE_TAB_15mg_5521
-264	ARIPIPERAZOLE_TAB_30mg_7178
-265	ARIPIPERAZOLE_TAB_5mg_10392
-266	ARSENIC TRIOXIDE_AMP_0/1%_2079
-267	ARTIFICIAL TEARS (HYPROMELLOSE)_STERILE  EYE  DROP_0.5%    (10 ml)_105
-268	ARTIFICIAL TEARS (HYPROMELLOSE)_STERILE  EYE  DROP_1%_19441
-269	ASA  (ACETYL SALICYLIC ACID)_CHEWABLE  TAB_100 mg_106
-270	ASA  (ACETYL SALICYLIC ACID)_SUPP_325 mg_108
-271	ASA  (ACETYL SALICYLIC ACID)_SCORED  TAB_325 mg_109
-272	ASA  (ACETYL SALICYLIC ACID)_EC  TAB_325 mg_111
-273	ASA  (ACETYL SALICYLIC ACID)_EC  TAB_80 mg_1395
-274	ASA  CODEINE_TAB__110
-275	ASA  MICROCOATED_TAB_500 mg_112
-276	ASCORBIC ACID (POWDER)_BULK__60700
-277	ASPARAGINASE_VIAL_10,000 U_113
-278	ATENOLOL_SCORED  COATED  TAB_100 mg_114
-279	ATENOLOL_SCORED  TAB_50 mg_115
-280	ATORVASTATINE_TAB_10 mg_1910
-281	ATORVASTATINE_TAB_20 mg_1911
-282	ATORVASTATINE_TAB_40 mg_1912
-283	ATRACURIUM  BESYLATE_INJ_10 mg/ml    (2.5 ml)_116
-284	ATRACURIUM  BESYLATE_INJ_10 mg/ml    (5 ml)_117
-285	ATROPINE  SULFATE_STERILE  EYE  DROP_0.5%    (10 ml)_118
-286	ATROPINE  SULFATE_INJ_0.5 mg/1 ml_119
-287	ATROPINE  SULFATE_OPHTH  OINT_3/5 g  1 %_120
-288	ATROPINE  SULFATE_STERILE  EYE  DROP_1%    (10 ml)_121
-289	ATROPINE  SULFATE_INJ_10 mg/10 ml_1397
-290	ATROPINE  SULFATE_INJ_10 mg/ml    (2 ml)_2025
-291	ATROPINE SULFATE_INJ_2.5 mg/ml    (0.8 ml)_99905
-292	AVASTIN® (BEVASIZUMAB)_VIAL_100MG/4ML_5615
-293	AVASTIN® (BEVASIZUMAB)_VIAL_400MG/ 16ML_5616
-294	AVONEX® (INTERFERON    BETA - 1A)_VIAL_30MCG_2667
-295	AZATHIOPRINE_TAB_50 mg_122
-296	AZATHIOPRINE  (AS SODIUM)_INJ_50 mg_1399
-297	AZITHROMYCIN_SUSP_200 mg/5ml 30ml_1400
-298	AZITHROMYCIN_TAB_250 mg_2110
-299	AZITHROMYCIN_SUSP_100 mg/5ml 30ml_2373
-300	AZITHROMYCIN_TAB_500 mg_2407
-301	AZITHROMYCIN_CAP_500 mg_2408
-302	AZITHROMYCIN_SUSP_200 mg/5ml 15ml_4989
-303	AZITHROMYCIN_SUSP_200 mg/5ml 22.5ml_7986
-304	AZITHROMYCIN  (AS EIHYDRATE)_CAP_250 mg_123
-305	BACITRACIN_OPHTH  OINT_500 u/g_128
-306	BACLOFEN_SCORED  TAB_10 mg_129
